reference,pad,net,x_mm,y_mm,drill_mm,diameter_mm
U1,41,GND,109.0,117.0,0.2,0.45
U1,41,GND,110.0,118.0,0.2,0.45
U1,41,GND,110.0,116.0,0.2,0.45
U3,9,GND,108.7,123.5,0.2,0.45
U1,41,GND,109.0,116.0,0.2,0.45
U3,9,GND,111.25,122.48,0.2,0.45
U3,9,GND,110.05,125.65,0.2,0.45
U1,41,GND,108.0,116.0,0.2,0.45
U1,41,GND,110.0,117.0,0.2,0.45
U1,41,GND,109.0,118.0,0.2,0.45
U3,9,GND,108.7,125.0,0.2,0.45
U1,41,GND,108.0,118.0,0.2,0.45
U1,41,GND,108.0,117.0,0.2,0.45
U3,9,GND,110.3,123.5,0.2,0.45
U3,9,GND,110.3,125.0,0.2,0.45
SW2,2,GND,110.3,125.0,0.2,0.45
C18,2,GND,108.36,109.25,0.15,0.3
C28,1,USB_MCU_D+,105.65,118.85,0.2,0.45
U1,6,GPIO0,108.8,114.3025,0.15,0.3
U1,13,GPIO7,106.3025,116.0,0.15,0.3
C27,1,USB_MCU_D-,105.65,117.8,0.2,0.45
U1,17,GPIO11,106.3025,117.6,0.15,0.3
U1,27,GPIO15,109.6,119.6975,0.15,0.3
U1,32,GPIO19,111.775,118.4,0.15,0.3
U1,33,GPIO20,111.6975,118.0,0.15,0.3
U1,35,GPIO22,111.6975,117.2,0.15,0.3
U1,4,CHIP_EN,109.6,114.3025,0.15,0.3
